YearMonth,LangName,CommitCnts
2006-8,XProc,3600
2005-3,Diff,11665
2006-2,mupad,94
2003-12,mupad,132
2001-10,WebAssembly,946
2002-9,WebAssembly,1334
2008-4,Io,54267
2011-4,Jinja,4701
2004-12,Jinja,423
2016-12,Fancy,3282
2004-1,Mustache,24084
2014-4,q,21717
2008-9,PigLatin,657
2002-1,Mustache,299
2007-6,Puppet,23171
2019-11,RAML,2232
2000-12,Brainfuck,29559
2018-10,PureBasic,34989
2017-10,PureBasic,78458
2012-10,Delphi,10538
2000-6,Delphi,7060
2017-12,TLA,6507
2017-7,TLA,5775
2008-3,Delphi,9874
2006-5,Component Pascal,7162
2004-5,Component Pascal,3265
2014-4,Rouge,9
2000-7,XS,14660
2002-10,LiveScript,746
2000-10,LiveScript,920
2001-10,LiveScript,706
2020-6,RAML,3058
2013-7,Pike,913
2015-12,MTML,10
2000-1,VBScript,457
2000-7,Dockerfile,4659
2000-7,VBScript,698
2001-12,KiCad,285
2002-7,VBScript,4173
2013-8,APL,275
2005-5,LLVM,27274
2019-8,ImageJ Macro,5325
2008-10,Limbo,9510
2012-8,Blade,607
2007-3,HLSL,19894
2005-9,Genshi,669
2006-5,HLSL,14148
2019-8,Euphoria,2106
2017-8,Euphoria,1581
2018-10,Csound Document,1209
2014-5,API Blueprint,6764
2002-10,Apex,28
2012-1,Fluent,666
2004-4,Csound,1557
2003-3,QML,9132
2017-10,Csound,1684
2003-10,Coq,7992
2009-4,Coq,3494
2002-12,Coq,4800
2000-4,AGS Script,2072
2013-11,Click,2181
2015-5,Gosu,2207
2017-4,E,6061
2007-4,Metal,588
2015-10,Metal,22495
2015-4,Metal,22097
2014-10,JFlex,7380
2006-10,PureBasic,698
2005-5,Zephir,114
2004-9,PureBasic,245
2004-9,Zephir,152
2015-10,Lean,4767
2008-5,PureBasic,813
2008-9,Crystal,955
2000-5,CoffeeScript,3727
2007-7,Terra,10150
2000-8,CoffeeScript,372
2002-2,Julia,3164
2002-7,Crystal,372
2001-10,Dart,533
2005-2,Dart,803
2019-12,Eagle,774
2001-8,JSONiq,380
2020-12,KiCad,569
2010-8,Game Maker Language,8884
2003-7,NASL,5846
2006-1,Pawn,11659
2003-11,Rich Text Format,4529
2007-8,Handlebars,9798
2007-4,Handlebars,11202
2018-6,Singularity,304
2010-6,API Blueprint,632
2014-8,Brightscript,570
2003-7,Component Pascal,9107
2008-7,Component Pascal,10030
2017-8,Csound Score,4150
2004-1,Csound Score,3343
2014-1,Squirrel,3949
